Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
8,2018-10-08,03:45:00,발렌시아,1,1,바르셀로나
8,2018-10-08,01:30:00,세비야,2,1,셀타비고
8,2018-10-08,01:30:00,에스파뇰,3,1,비야레알
8,2018-10-07,23:15:00,AT마드리드,1,0,베티스
8,2018-10-07,19:00:00,바야돌리드,1,0,우에스카
8,2018-10-07,03:45:00,레가네스,1,0,라요 바예카노
8,2018-10-07,01:30:00,알라베스,1,0,레알마드리드
8,2018-10-06,23:15:00,헤타페,0,1,레반테
8,2018-10-06,20:00:00,지로나,2,3,에이바르
8,2018-10-06,04:00:00,아틀레틱 빌바오,1,3,레알소시에다드
7,2018-10-02,04:00:00,셀타비고,1,1,헤타페
7,2018-10-01,03:45:00,베티스,1,0,레가네스
7,2018-10-01,01:30:00,레반테,2,1,알라베스
7,2018-09-30,23:15:00,비야레알,0,1,바야돌리드
7,2018-09-30,19:00:00,우에스카,1,1,지로나
7,2018-09-30,03:45:00,레알마드리드,0,0,AT마드리드
7,2018-09-30,01:30:00,에이바르,1,3,세비야
7,2018-09-29,23:15:00,바르셀로나,1,1,아틀레틱 빌바오
7,2018-09-29,20:00:00,레알소시에다드,0,1,발렌시아
7,2018-09-29,04:00:00,라요 바예카노,2,2,에스파뇰
6,2018-09-28,05:00:00,지로나,0,1,베티스
6,2018-09-28,03:00:00,바야돌리드,2,1,레반테
6,2018-09-28,03:00:00,알라베스,1,1,헤타페
6,2018-09-27,05:00:00,발렌시아,1,1,셀타비고
6,2018-09-27,05:00:00,세비야,3,0,레알마드리드
6,2018-09-27,03:00:00,레가네스,2,1,바르셀로나
6,2018-09-27,03:00:00,아틀레틱 빌바오,0,3,비야레알
6,2018-09-26,05:00:00,AT마드리드,3,0,우에스카
6,2018-09-26,04:00:00,레알소시에다드,2,2,라요 바예카노
6,2018-09-26,03:00:00,에스파뇰,1,0,에이바르
5,2018-09-24,03:45:00,바르셀로나,2,2,지로나
5,2018-09-24,03:00:00,베티스,2,2,아틀레틱 빌바오
5,2018-09-23,23:15:00,비야레알,0,0,발렌시아
5,2018-09-23,19:00:00,레반테,2,6,세비야
5,2018-09-23,03:45:00,레알마드리드,1,0,에스파뇰
5,2018-09-23,01:30:00,헤타페,0,2,AT마드리드
5,2018-09-22,23:15:00,셀타비고,3,3,바야돌리드
5,2018-09-22,23:15:00,에이바르,1,0,레가네스
5,2018-09-22,20:00:00,라요 바예카노,1,5,알라베스
5,2018-09-22,04:00:00,우에스카,0,1,레알소시에다드
4,2018-09-18,04:00:00,지로나,3,2,셀타비고
4,2018-09-17,03:45:00,세비야,0,2,헤타페
4,2018-09-17,01:30:00,바야돌리드,0,1,알라베스
4,2018-09-16,23:15:00,에스파뇰,1,0,레반테
4,2018-09-16,19:00:00,레가네스,0,1,비야레알
4,2018-09-16,03:45:00,아틀레틱 빌바오,1,1,레알마드리드
4,2018-09-16,01:30:00,발렌시아,0,0,베티스
4,2018-09-15,23:15:00,레알소시에다드,1,2,바르셀로나
4,2018-09-15,20:00:00,AT마드리드,1,1,에이바르
4,2018-09-15,04:00:00,우에스카,0,1,라요 바예카노
3,2018-09-03,03:45:00,베티스,1,0,세비야
3,2018-09-03,01:30:00,바르셀로나,8,2,우에스카
3,2018-09-02,23:15:00,알라베스,2,1,에스파뇰
3,2018-09-02,19:00:00,레반테,2,2,발렌시아
3,2018-09-02,03:45:00,레알마드리드,4,1,레가네스
3,2018-09-02,01:30:00,셀타비고,2,0,AT마드리드
3,2018-09-01,05:00:00,비야레알,0,1,지로나
3,2018-09-01,05:00:00,에이바르,2,1,레알소시에다드
3,2018-09-01,03:00:00,헤타페,0,0,바야돌리드
2,2018-08-28,05:00:00,아틀레틱 빌바오,2,2,우에스카
2,2018-08-28,03:15:00,레반테,1,2,셀타비고
2,2018-08-27,05:15:00,세비야,0,0,비야레알
2,2018-08-27,05:15:00,지로나,1,4,레알마드리드
2,2018-08-27,01:15:00,에스파뇰,2,0,발렌시아
2,2018-08-26,05:15:00,바야돌리드,0,1,바르셀로나
2,2018-08-26,03:15:00,AT마드리드,1,0,라요 바예카노
2,2018-08-26,01:15:00,알라베스,0,0,베티스
2,2018-08-25,05:15:00,레가네스,2,2,레알소시에다드
2,2018-08-25,03:15:00,헤타페,2,0,에이바르
1,2018-08-21,05:00:00,아틀레틱 빌바오,2,1,레가네스
1,2018-08-21,03:00:00,발렌시아,1,1,AT마드리드
1,2018-08-20,05:15:00,레알마드리드,2,0,헤타페
1,2018-08-20,03:15:00,라요 바예카노,1,4,세비야
1,2018-08-20,01:15:00,에이바르,1,2,우에스카
1,2018-08-19,05:15:00,바르셀로나,3,0,알라베스
1,2018-08-19,03:15:00,비야레알,1,2,레알소시에다드
1,2018-08-19,01:15:00,셀타비고,1,1,에스파뇰
1,2018-08-18,05:15:00,베티스,0,3,레반테
1,2018-08-18,03:15:00,지로나,0,0,바야돌리드
