Round,Date,Time,Home_Team,Home_Score,Away_Score,Away_Team
2,2018-08-27,03:30:00,칼리아리,2,2,사수올로
2,2018-08-27,03:30:00,프로시노네,0,0,볼로냐
2,2018-08-27,03:30:00,피오렌티나,6,1,키에보
2,2018-08-27,01:00:00,스팔,1,0,파르마
2,2018-08-26,03:30:00,나폴리,3,2,AC 밀란
2,2018-08-26,01:00:00,유벤투스,2,0,라치오
1,2018-08-21,03:30:00,아탈란타,4,0,프로시노네
1,2018-08-20,03:30:00,볼로냐,0,1,스팔
1,2018-08-20,03:30:00,사수올로,1,0,인터밀란
1,2018-08-20,03:30:00,엠폴리,2,0,칼리아리
1,2018-08-20,03:30:00,파르마,2,2,우디네세
1,2018-08-20,01:00:00,토리노,0,1,AS 로마
1,2018-08-19,03:30:00,라치오,1,2,나폴리
1,2018-08-19,01:00:00,키에보,2,3,유벤투스
